                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0465,                 4.2301,                 4.0583,                0.00714,                0.51545,                 0.0096,                 0.0031,                 3.3864,                 4.4413,                 4.7622,             0.00033081,             0.00033081,             0.00033081
                      2,                 2.6514,                 3.7546,                 3.3515,                0.20102,                 0.0551,                0.03394,                0.01211,                 2.2877,                 5.5426,                  3.241,             0.00063127,             0.00063127,             0.00063127
                      3,                 2.1293,                 3.3139,                 2.7335,                0.05634,                0.34658,                0.07304,                0.02713,                 2.1172,                 8.2348,                  2.898,             0.00089872,             0.00089872,             0.00089872
                      4,                 1.7956,                 2.8604,                 2.3646,                0.30593,                0.35388,                0.29047,                0.14914,                 1.7127,                 2.7465,                  2.377,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.6204,                 2.5099,                 2.1561,                0.37093,                0.41365,                0.33966,                0.19889,                 1.5462,                 2.6252,                 2.1721,               0.000802,               0.000802,               0.000802
                      6,                 1.5106,                 2.3208,                 2.0435,                 0.4115,                0.49786,                0.45196,                0.28378,                 1.4259,                 2.1674,                 2.1117,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.3977,                  2.103,                 1.9202,                0.45113,                0.52287,                0.47416,                 0.3117,                   1.27,                 2.2357,                 1.8712,               0.000703,               0.000703,               0.000703
                      8,                 1.3182,                  1.954,                 1.8353,                0.63214,                0.57176,                0.62215,                0.41697,                 1.2206,                 1.6459,                 1.8306,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.2461,                 1.8128,                 1.7676,                0.65185,                0.55969,                0.63808,                0.45743,                  1.112,                 1.6189,                 1.7475,               0.000604,               0.000604,               0.000604
                     10,                 1.1909,                 1.7409,                  1.707,                0.68627,                0.61896,                  0.695,                0.50926,                 1.0217,                 1.4103,                 1.6217,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.0378,                 1.5413,                 1.6236,                0.66241,                0.61619,                0.69036,                0.50688,                 1.0509,                 1.5011,                 1.6283,               0.000505,               0.000505,               0.000505
                     12,                0.97527,                 1.3232,                 1.5406,                0.76897,                0.65569,                0.74984,                0.56557,                0.99475,                 1.3381,                 1.5705,              0.0004555,              0.0004555,              0.0004555
                     13,                0.90757,                 1.2094,                 1.4814,                0.79803,                0.69409,                0.78081,                0.60007,                0.90856,                 1.1741,                  1.476,               0.000406,               0.000406,               0.000406
                     14,                0.86651,                 1.1275,                 1.4274,                0.75581,                  0.691,                0.78611,                0.59829,                0.92644,                 1.1675,                 1.4787,              0.0003565,              0.0003565,              0.0003565
                     15,                0.83456,                 1.1036,                 1.3937,                0.79089,                0.70448,                0.80261,                0.63699,                0.84891,                 1.0781,                 1.4092,               0.000307,               0.000307,               0.000307
                     16,                0.81779,                 1.0062,                 1.3907,                0.86762,                0.74738,                0.85558,                0.68389,                0.82224,                0.93234,                 1.3659,              0.0002575,              0.0002575,              0.0002575
                     17,                0.78306,                  0.957,                 1.3538,                0.84091,                0.78192,                0.86023,                0.69243,                0.79444,                0.90051,                 1.3441,               0.000208,               0.000208,               0.000208
                     18,                0.74951,                0.91288,                 1.3149,                0.85943,                0.75626,                0.85766,                0.69674,                 0.7689,                0.89393,                 1.3245,              0.0001585,              0.0001585,              0.0001585
                     19,                0.72752,                0.86824,                 1.3014,                0.86188,                0.76373,                0.86555,                0.70454,                0.76634,                0.86924,                 1.3196,               0.000109,               0.000109,               0.000109
                     20,                 0.7125,                0.85591,                 1.2866,                0.88834,                0.78071,                0.88469,                 0.7274,                0.73238,                0.80475,                 1.2886,               5.95e-05,               5.95e-05,               5.95e-05
